ano_mes,trimestre,qtd,qtd_indicador,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,161,73,C1,B2,C3,A4,B5,B6,D1,C2,C3,C8
202501,01T25,168,68,C1,A2,C3,C4,B5,A6,B1,C2,C3,C8
202501,01T25,73,39,C1,B2,A3,C4,C5,A6,D1,A2,A3,C10
202501,01T25,157,153,B1,B2,A3,C4,A5,C6,B1,D2,D3,C8
202501,01T25,117,114,B1,C2,B3,C4,A5,C6,B1,D2,A3,C7
202501,01T25,41,40,C1,A2,A3,C4,A5,C6,A1,D2,C3,C3
202501,01T25,442,428,A1,A2,B3,C4,B5,B6,A1,B2,B3,C5
202501,01T25,36,32,A1,C2,A3,C4,A5,C6,C1,A2,C3,C9
202501,01T25,637,366,C1,A2,A3,B4,C5,A6,D1,D2,C3,C4
202501,01T25,1055,859,C1,C2,B3,A4,A5,A6,D1,B2,A3,C2
202501,01T25,51,44,A1,C2,B3,A4,C5,A6,A1,C2,B3,C5
202501,01T25,249,183,B1,C2,A3,A4,A5,A6,C1,B2,A3,C8
202501,01T25,16,9,C1,A2,A3,A4,B5,B6,C1,C2,C3,C7
202501,01T25,19,16,A1,C2,C3,C4,A5,C6,A1,A2,A3,C10
202501,01T25,10,10,B1,B2,A3,B4,A5,A6,B1,D2,A3,C4
202501,01T25,81,74,B1,B2,C3,C4,B5,B6,C1,D2,B3,C7
202501,01T25,77,57,C1,A2,A3,A4,A5,B6,B1,C2,A3,C9
202501,01T25,16,16,A1,B2,A3,B4,A5,A6,B1,A2,B3,C1
202501,01T25,6,5,C1,C2,C3,C4,C5,C6,C1,C2,A3,C4
202501,01T25,320,289,A1,B2,C3,A4,A5,C6,C1,D2,B3,C5
202501,01T25,112,102,C1,B2,B3,A4,A5,B6,A1,D2,C3,C9
202501,01T25,175,169,C1,B2,C3,C4,A5,C6,B1,D2,A3,C5
202501,01T25,89,69,B1,A2,C3,B4,C5,C6,B1,D2,A3,C7
202501,01T25,61,26,C1,A2,B3,A4,A5,A6,D1,A2,B3,C1
202501,01T25,249,231,C1,B2,A3,C4,A5,C6,A1,A2,C3,C6
202501,01T25,437,427,B1,B2,C3,C4,B5,B6,A1,C2,A3,C5
202501,01T25,88,67,A1,C2,C3,C4,A5,C6,C1,A2,A3,C9
202501,01T25,262,234,A1,B2,C3,A4,A5,B6,D1,D2,B3,C7
202501,01T25,46,27,C1,A2,C3,A4,B5,A6,A1,A2,A3,C2
202501,01T25,352,331,C1,C2,A3,A4,A5,A6,A1,A2,A3,C1
202501,01T25,153,74,A1,C2,B3,A4,B5,C6,B1,B2,D3,C10
202501,01T25,88,51,C1,B2,B3,A4,B5,C6,C1,B2,B3,C10
202501,01T25,668,558,B1,A2,C3,B4,B5,A6,B1,D2,B3,C3
202501,01T25,550,69,B1,A2,A3,A4,B5,A6,C1,A2,D3,C9
