ano_mes,trimestre,qtd,qtd_atvc_cont,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,447,339,B1,B2,C3,B4,A5,C6,D1,A2,B3,C2
202501,01T25,196,148,C1,B2,A3,C4,A5,C6,C1,D2,A3,C10
202501,01T25,7,5,B1,C2,C3,C4,C5,C6,C1,D2,D3,C5
202501,01T25,227,172,C1,C2,B3,C4,C5,C6,C1,C2,B3,C10
202501,01T25,9,6,A1,A2,B3,C4,C5,B6,A1,D2,C3,C10
202501,01T25,219,166,A1,A2,C3,A4,B5,A6,A1,D2,D3,C10
202501,01T25,615,467,B1,A2,A3,A4,B5,B6,C1,C2,C3,C10
202501,01T25,22,16,B1,C2,C3,A4,A5,C6,A1,C2,D3,C6
202501,01T25,44,33,A1,C2,B3,C4,A5,A6,C1,A2,B3,C6
202501,01T25,108,82,C1,A2,B3,B4,A5,C6,C1,D2,A3,C7
202501,01T25,323,245,A1,B2,A3,A4,A5,B6,D1,D2,B3,C6
202501,01T25,259,196,A1,C2,B3,B4,A5,A6,D1,A2,C3,C10
202501,01T25,276,209,A1,A2,A3,C4,C5,A6,B1,C2,A3,C3
202501,01T25,489,371,A1,C2,A3,C4,B5,A6,B1,C2,A3,C7
202501,01T25,139,105,B1,B2,B3,B4,B5,A6,A1,C2,C3,C5
202501,01T25,165,125,B1,C2,A3,C4,B5,B6,A1,A2,D3,C10
202501,01T25,195,148,B1,C2,B3,C4,C5,A6,D1,A2,D3,C5
202501,01T25,524,398,B1,B2,B3,C4,C5,C6,A1,A2,B3,C5
202501,01T25,411,312,C1,A2,B3,B4,B5,A6,A1,A2,C3,C4
202501,01T25,136,103,A1,C2,C3,B4,A5,B6,B1,B2,B3,C7
202501,01T25,256,194,B1,C2,C3,A4,A5,A6,A1,C2,D3,C3
202501,01T25,132,100,B1,B2,C3,A4,C5,C6,C1,C2,D3,C2
202501,01T25,201,152,B1,C2,A3,B4,A5,A6,D1,A2,B3,C5
202501,01T25,152,115,B1,A2,B3,C4,C5,B6,A1,D2,B3,C3
202501,01T25,185,140,B1,B2,B3,C4,B5,B6,D1,A2,C3,C1
202501,01T25,311,236,C1,C2,C3,B4,A5,A6,B1,C2,A3,C3
202501,01T25,519,394,A1,B2,B3,B4,A5,C6,A1,B2,B3,C1
202501,01T25,166,126,B1,C2,C3,C4,C5,B6,C1,C2,C3,C8
202501,01T25,312,237,C1,C2,A3,B4,A5,C6,B1,D2,B3,C3
202501,01T25,197,149,B1,A2,B3,A4,B5,A6,B1,B2,B3,C8
202501,01T25,352,267,B1,A2,A3,B4,C5,B6,A1,D2,A3,C10
202501,01T25,95,72,A1,A2,A3,A4,C5,B6,D1,D2,C3,C10
202501,01T25,273,207,C1,B2,B3,B4,A5,C6,C1,B2,B3,C8
202501,01T25,442,335,B1,B2,B3,B4,B5,C6,D1,A2,B3,C5
202501,01T25,71,53,B1,A2,A3,B4,B5,B6,C1,D2,D3,C5
202501,01T25,29,22,A1,B2,B3,A4,C5,A6,C1,A2,B3,C5
202501,01T25,321,243,B1,C2,B3,C4,A5,B6,A1,D2,B3,C4
202501,01T25,265,201,C1,B2,A3,B4,A5,A6,A1,B2,C3,C5
202501,01T25,706,536,C1,C2,B3,C4,A5,B6,A1,D2,B3,C8
202501,01T25,137,104,A1,A2,A3,A4,C5,B6,C1,C2,A3,C6
202501,01T25,184,139,A1,A2,B3,B4,A5,C6,D1,A2,A3,C5
202501,01T25,103,78,A1,A2,B3,C4,B5,B6,D1,B2,C3,C7
202501,01T25,62,47,B1,A2,C3,A4,B5,C6,D1,C2,C3,C3
202501,01T25,817,620,B1,C2,A3,B4,C5,C6,C1,C2,C3,C10
202501,01T25,79,60,B1,B2,C3,A4,B5,B6,D1,C2,B3,C9
202501,01T25,533,405,C1,A2,B3,C4,C5,B6,C1,D2,C3,C1
202501,01T25,237,180,A1,A2,B3,A4,A5,C6,B1,D2,A3,C1
202501,01T25,447,339,C1,A2,B3,A4,B5,B6,B1,C2,A3,C7
202501,01T25,224,170,B1,B2,C3,B4,C5,B6,D1,C2,D3,C9
202501,01T25,192,145,B1,C2,C3,C4,B5,B6,A1,C2,B3,C3
202501,01T25,217,164,A1,A2,B3,C4,A5,A6,C1,A2,B3,C7
202501,01T25,84,63,C1,C2,A3,A4,A5,A6,C1,D2,D3,C8
202501,01T25,52,39,A1,B2,A3,A4,A5,C6,A1,D2,A3,C1
202501,01T25,37,28,A1,C2,A3,B4,A5,C6,C1,D2,C3,C1
202501,01T25,78,59,A1,C2,B3,C4,B5,A6,A1,D2,C3,C3
202501,01T25,128,97,B1,B2,C3,B4,B5,A6,D1,D2,A3,C7
202501,01T25,176,133,C1,C2,B3,B4,B5,B6,A1,B2,D3,C7
202501,01T25,17,12,A1,A2,A3,C4,B5,B6,A1,C2,A3,C9
202501,01T25,348,264,C1,C2,C3,A4,C5,A6,D1,C2,A3,C10
202501,01T25,184,139,C1,C2,C3,A4,B5,B6,A1,D2,A3,C7
202501,01T25,174,132,A1,C2,C3,C4,B5,B6,C1,A2,A3,C3
202501,01T25,82,62,C1,C2,C3,C4,C5,C6,A1,A2,B3,C2
202501,01T25,156,118,A1,C2,C3,A4,C5,C6,B1,D2,B3,C9
202501,01T25,509,386,B1,C2,B3,B4,A5,B6,A1,D2,A3,C2
202501,01T25,37,28,B1,B2,C3,B4,B5,C6,D1,A2,A3,C10
202501,01T25,46,34,A1,C2,A3,B4,C5,C6,C1,D2,C3,C2
202501,01T25,28,21,A1,B2,B3,B4,A5,A6,B1,C2,A3,C3
202501,01T25,0,0,B1,C2,B3,A4,C5,B6,B1,D2,B3,C3
202501,01T25,308,234,B1,B2,B3,C4,A5,B6,C1,D2,B3,C4
202501,01T25,169,128,B1,C2,C3,C4,B5,A6,A1,D2,D3,C5
202501,01T25,571,433,C1,A2,C3,B4,A5,C6,A1,C2,B3,C5
202501,01T25,107,81,C1,B2,C3,C4,B5,A6,D1,A2,B3,C9
202501,01T25,383,291,B1,A2,B3,C4,A5,C6,A1,C2,B3,C8
202501,01T25,293,222,C1,C2,A3,A4,C5,B6,C1,C2,D3,C9
202501,01T25,176,133,B1,C2,C3,B4,A5,C6,D1,D2,D3,C9
