ano_mes,trimestre,qtd,qtd_indicador,cat3_1,cat3_2,cat3_3,cat3_4,cat3_5,cat3_6,cat4_1,cat4_2,cat4_3,cat10_1
202501,01T25,197,154,C1,B2,C3,A4,B5,B6,D1,C2,C3,C8
202501,01T25,319,201,C1,A2,C3,C4,B5,A6,B1,C2,C3,C8
202501,01T25,57,45,C1,B2,A3,C4,C5,A6,D1,A2,A3,C10
202501,01T25,188,139,B1,B2,A3,C4,A5,C6,B1,D2,D3,C8
202501,01T25,114,90,B1,C2,B3,C4,A5,C6,B1,D2,A3,C7
202501,01T25,57,39,C1,A2,A3,C4,A5,C6,A1,D2,C3,C3
202501,01T25,460,336,A1,A2,B3,C4,B5,B6,A1,B2,B3,C5
202501,01T25,30,23,A1,C2,A3,C4,A5,C6,C1,A2,C3,C9
202501,01T25,372,283,C1,A2,A3,B4,C5,A6,D1,D2,C3,C4
202501,01T25,1125,939,C1,C2,B3,A4,A5,A6,D1,B2,A3,C2
202501,01T25,63,54,A1,C2,B3,A4,C5,A6,A1,C2,B3,C5
202501,01T25,218,175,B1,C2,A3,A4,A5,A6,C1,B2,A3,C8
202501,01T25,27,17,C1,A2,A3,A4,B5,B6,C1,C2,C3,C7
202501,01T25,17,12,A1,C2,C3,C4,A5,C6,A1,A2,A3,C10
202501,01T25,9,6,B1,B2,A3,B4,A5,A6,B1,D2,A3,C4
202501,01T25,64,56,B1,B2,C3,C4,B5,B6,C1,D2,B3,C7
202501,01T25,208,139,C1,A2,A3,A4,A5,B6,B1,C2,A3,C9
202501,01T25,20,13,A1,B2,A3,B4,A5,A6,B1,A2,B3,C1
202501,01T25,6,4,C1,C2,C3,C4,C5,C6,C1,C2,A3,C4
202501,01T25,485,361,A1,B2,C3,A4,A5,C6,C1,D2,B3,C5
202501,01T25,231,158,C1,B2,B3,A4,A5,B6,A1,D2,C3,C9
202501,01T25,358,262,C1,B2,C3,C4,A5,C6,B1,D2,A3,C5
202501,01T25,64,49,B1,A2,C3,B4,C5,C6,B1,D2,A3,C7
202501,01T25,83,59,C1,A2,B3,A4,A5,A6,D1,A2,B3,C1
202501,01T25,366,290,C1,B2,A3,C4,A5,C6,A1,A2,C3,C6
202501,01T25,326,212,B1,B2,C3,C4,B5,B6,A1,C2,A3,C5
202501,01T25,71,52,A1,C2,C3,C4,A5,C6,C1,A2,A3,C9
202501,01T25,270,228,A1,B2,C3,A4,A5,B6,D1,D2,B3,C7
202501,01T25,81,61,C1,A2,C3,A4,B5,A6,A1,A2,A3,C2
202501,01T25,596,473,C1,C2,A3,A4,A5,A6,A1,A2,A3,C1
202501,01T25,267,205,A1,C2,B3,A4,B5,C6,B1,B2,D3,C10
202501,01T25,175,124,C1,B2,B3,A4,B5,C6,C1,B2,B3,C10
202501,01T25,587,470,B1,A2,C3,B4,B5,A6,B1,D2,B3,C3
202501,01T25,529,417,B1,A2,A3,A4,B5,A6,C1,A2,D3,C9
202501,01T25,576,454,A1,C2,C3,A4,A5,A6,D1,A2,C3,C7
202501,01T25,63,49,A1,C2,A3,A4,A5,A6,C1,D2,B3,C1
202501,01T25,8,6,C1,A2,B3,A4,A5,A6,C1,D2,C3,C2
202501,01T25,126,90,C1,B2,B3,C4,B5,B6,C1,D2,D3,C3
202501,01T25,490,335,C1,B2,A3,C4,B5,A6,B1,B2,B3,C10
202501,01T25,445,333,C1,B2,C3,A4,C5,A6,A1,B2,B3,C6
202501,01T25,602,419,C1,A2,A3,A4,C5,C6,D1,C2,C3,C9
202501,01T25,361,286,A1,A2,A3,A4,B5,A6,C1,B2,A3,C9
202501,01T25,285,240,B1,B2,B3,A4,A5,B6,C1,C2,A3,C4
202501,01T25,222,154,A1,C2,C3,B4,B5,A6,A1,D2,B3,C6
202501,01T25,297,222,C1,B2,B3,A4,C5,A6,B1,B2,B3,C1
202501,01T25,148,113,C1,B2,B3,A4,B5,B6,C1,A2,C3,C1
202501,01T25,118,85,A1,C2,C3,A4,A5,A6,C1,D2,A3,C6
202501,01T25,639,525,C1,A2,B3,A4,C5,B6,C1,D2,C3,C9
202501,01T25,99,71,B1,C2,B3,B4,C5,B6,B1,D2,D3,C6
202501,01T25,77,61,C1,B2,A3,B4,A5,B6,A1,D2,C3,C5
202501,01T25,131,99,A1,B2,B3,B4,B5,A6,D1,A2,D3,C5
202501,01T25,93,71,B1,C2,B3,A4,C5,A6,D1,A2,A3,C7
